ArcID,SeasonID,WaterLevel__m,RateOfFlow__m3_s,WaterSpeed__m_s,WaterDepth__m,Width,geometry,nrow_depth,nrow_width,mapping_to_grid
9204,1,6.906,850.000,0.739,2.817,150.000,"LINESTRING (207328 428807, 204196 429189)",32.000,32.000,"LINESTRING (205762 428998, 204386 429143)"
6335,1,6.906,850.000,0.713,2.817,150.000,"LINESTRING (204196 429189, 203829 429357)",32.000,31.000,"LINESTRING (204012 429273, 204386 429143)"
6329,1,6.861,850.000,0.713,2.949,150.000,"LINESTRING (203829 429357, 203714 429410)",34.000,34.000,"LINESTRING (203772 429384, 203739 429377)"
6324,1,6.861,850.000,0.731,2.922,150.000,"LINESTRING (203714 429410, 203171 429732)",35.000,35.000,"LINESTRING (203442 429571, 203451 429539)"
8888,1,6.813,850.000,0.705,2.985,150.000,"LINESTRING (203171 429732, 203056 429840)",39.000,36.000,"LINESTRING (203114 429786, 202551 430288)"
8889,1,6.714,850.000,0.670,3.106,150.000,"LINESTRING (203056 429840, 200462 431534)",41.000,40.000,"LINESTRING (201759 430687, 202115 430627)"
7086,1,6.634,850.000,0.636,3.485,150.000,"LINESTRING (200462 431534, 200157 431643)",47.000,46.000,"LINESTRING (200310 431588, 200726 431429)"
7082,1,6.634,696.640,0.903,2.542,144.838,"LINESTRING (200157 431643, 199848 431728)",61.000,61.000,"LINESTRING (200002 431686, 197510 432703)"
6332,1,5.906,696.640,0.705,2.414,142.277,"LINESTRING (199848 431728, 188343 429318)",67.000,67.000,"LINESTRING (194096 430523, 196527 431775)"
6333,1,5.113,696.640,0.794,2.568,145.356,"LINESTRING (188343 429318, 188333 429317)",105.000,105.000,"LINESTRING (188338 429318, 189327 430723)"
6334,1,5.113,696.640,0.811,2.530,144.597,"LINESTRING (188333 429317, 187464 429386)",114.000,114.000,"LINESTRING (187898 429352, 188010 429281)"
6326,1,5.027,696.640,0.840,2.709,148.178,"LINESTRING (187464 429386, 187356 429424)",116.000,116.000,"LINESTRING (187410 429405, 187500 429344)"
6323,1,4.931,696.640,0.840,2.627,146.533,"LINESTRING (187356 429424, 187346 429427)",117.000,117.000,"LINESTRING (187351 429426, 187247 429378)"
6322,1,4.931,696.640,0.840,2.627,146.533,"LINESTRING (187346 429427, 187228 429470)",117.000,117.000,"LINESTRING (187287 429448, 187247 429378)"
6321,1,4.931,696.640,0.840,2.012,134.245,"LINESTRING (187228 429470, 187181 429487)",119.000,119.000,"LINESTRING (187204 429478, 186706 429734)"
6320,1,4.819,696.640,0.760,2.472,143.435,"LINESTRING (187181 429487, 185289 430871)",121.000,121.000,"LINESTRING (186235 430179, 186217 430093)"
7114,1,4.445,694.641,0.783,2.735,148.706,"LINESTRING (185289 430871, 179150 433050)",142.000,142.000,"LINESTRING (182220 431960, 181088 432449)"
7046,1,4.087,694.641,0.769,2.425,142.494,"LINESTRING (179150 433050, 179140 433052)",148.000,148.000,"LINESTRING (179145 433051, 179544 432977)"
7045,1,3.788,694.642,0.751,2.481,143.629,"LINESTRING (179140 433052, 173299 434332)",160.000,160.000,"LINESTRING (176220 433692, 176375 434096)"
1729,1,3.428,694.643,0.812,2.667,147.339,"LINESTRING (173299 434332, 171725 434554)",168.000,168.000,"LINESTRING (172512 434443, 174227 434172)"
8929,1,3.179,694.645,0.770,2.751,149.027,"LINESTRING (171725 434554, 169013 434604)",180.000,180.000,"LINESTRING (170369 434579, 170913 434565)"
8930,1,2.867,694.648,0.743,2.747,148.939,"LINESTRING (169013 434604, 165422 434290)",188.000,188.000,"LINESTRING (167218 434447, 168544 434694)"
7021,1,2.518,694.657,0.733,2.658,147.168,"LINESTRING (165422 434290, 162605 433396)",206.000,206.000,"LINESTRING (164014 433843, 163975 433624)"
7022,1,2.347,694.660,0.797,2.852,150.000,"LINESTRING (162605 433396, 162595 433395)",209.000,209.000,"LINESTRING (162600 433396, 163058 433444)"
7025,1,2.257,694.662,0.782,2.759,149.180,"LINESTRING (162595 433395, 160082 433368)",215.000,215.000,"LINESTRING (161338 433382, 161310 433458)"
7027,1,2.081,694.665,0.784,2.512,144.248,"LINESTRING (160082 433368, 160081 433368)",219.000,219.000,"LINESTRING (160082 433368, 160235 433391)"
7032,1,2.081,694.665,0.784,2.790,149.795,"LINESTRING (160081 433368, 159946 433324)",220.000,220.000,"LINESTRING (160014 433346, 159990 433348)"
7056,1,2.045,654.669,0.655,2.888,150.000,"LINESTRING (159946 433324, 158962 432859)",225.000,222.000,"LINESTRING (159454 433092, 158948 432816)"
8870,1,1.904,654.673,0.695,2.529,144.573,"LINESTRING (158962 432859, 157307 430592)",234.000,234.000,"LINESTRING (158134 431726, 157529 430997)"
8871,1,1.424,654.662,0.583,2.701,148.015,"LINESTRING (157307 430592, 152368 423939)",243.000,243.000,"LINESTRING (154838 427266, 156626 428598)"
7363,1,1.141,654.603,0.704,2.911,150.000,"LINESTRING (152368 423939, 152364 423940)",264.000,259.000,"LINESTRING (152366 423940, 152941 423984)"
7362,1,0.875,654.474,0.615,2.804,150.000,"LINESTRING (152364 423940, 146332 425556)",273.000,273.000,"LINESTRING (149348 424748, 150926 425193)"
7255,1,0.715,654.253,0.544,2.856,150.000,"LINESTRING (146332 425556, 146322 425555)",292.000,287.000,"LINESTRING (146327 425556, 146429 425568)"
7256,1,0.715,654.253,0.544,2.856,150.000,"LINESTRING (146322 425555, 146315 425554)",292.000,292.000,"LINESTRING (146318 425554, 146429 425568)"
7257,1,0.715,654.253,0.544,2.856,150.000,"LINESTRING (146315 425554, 146305 425552)",292.000,292.000,"LINESTRING (146310 425553, 146429 425568)"
7258,1,0.715,654.253,0.544,2.856,150.000,"LINESTRING (146305 425552, 146280 425548)",292.000,292.000,"LINESTRING (146292 425550, 146429 425568)"
7259,1,0.715,654.253,0.544,3.862,150.000,"LINESTRING (146280 425548, 146270 425547)",293.000,293.000,"LINESTRING (146275 425548, 146144 425509)"
7265,1,0.697,654.231,0.499,4.239,150.000,"LINESTRING (146270 425547, 145540 425456)",295.000,294.000,"LINESTRING (145905 425502, 145628 425462)"
7273,1,0.685,654.204,0.514,3.578,150.000,"LINESTRING (145540 425456, 145075 425340)",296.000,296.000,"LINESTRING (145308 425398, 145379 425412)"
7274,1,0.669,654.204,0.514,3.194,150.000,"LINESTRING (145075 425340, 145070 425338)",297.000,297.000,"LINESTRING (145072 425339, 145131 425355)"
7286,1,0.669,654.169,0.517,3.481,150.000,"LINESTRING (145070 425338, 144595 425147)",298.000,298.000,"LINESTRING (144832 425242, 144888 425277)"
7301,1,0.647,654.138,0.500,3.421,150.000,"LINESTRING (144595 425147, 144056 424893)",302.000,300.000,"LINESTRING (144326 425020, 143888 424858)"
7310,1,0.620,654.004,0.501,3.054,150.000,"LINESTRING (144056 424893, 142144 424676)",316.000,303.000,"LINESTRING (143100 424784, 139628 425386)"
7309,1,0.489,653.540,0.435,3.531,150.000,"LINESTRING (142144 424676, 129800 425724)",323.000,317.000,"LINESTRING (135972 425200, 137646 425081)"
